date,cash_bid,cash_ask,px_bid.1,px_ask.1,c_3m_moc,metal
2000-01-04,1614.5,1615.0,1638.5,1639.0,0.0,Aluminium
2000-01-05,1607.0,1608.0,1632.5,1633.0,0.0,Aluminium
2000-01-06,1621.0,1622.0,1645.0,1646.0,0.0,Aluminium
2000-01-07,1637.0,1638.0,1659.0,1660.0,0.0,Aluminium
2000-01-10,1637.5,1638.0,1655.0,1656.0,0.0,Aluminium
2000-01-11,1636.5,1637.0,1655.0,1656.0,0.0,Aluminium
2000-01-12,1630.0,1631.0,1654.0,1655.0,0.0,Aluminium
2000-01-13,1642.5,1643.0,1663.0,1663.5,0.0,Aluminium
2000-01-14,1640.5,1641.0,1659.0,1660.0,0.0,Aluminium
2000-01-17,1666.0,1667.0,1676.0,1677.0,0.0,Aluminium
2000-01-18,1684.0,1686.0,1696.0,1697.0,0.0,Aluminium
2000-01-19,1738.0,1738.5,1739.0,1739.5,0.0,Aluminium
2000-01-20,1741.5,1742.0,1734.5,1735.0,0.0,Aluminium
2000-01-21,1730.0,1730.5,1725.0,1725.5,0.0,Aluminium
2000-01-24,1716.0,1717.0,1719.0,1719.5,0.0,Aluminium
2000-01-25,1743.0,1744.0,1730.0,1731.0,0.0,Aluminium
2000-01-26,1744.0,1745.0,1733.0,1734.0,0.0,Aluminium
2000-01-27,1716.0,1717.0,1712.0,1712.5,0.0,Aluminium
2000-01-28,1738.0,1739.0,1727.0,1728.0,0.0,Aluminium
2000-01-31,1714.0,1715.0,1700.0,1701.0,0.0,Aluminium
2000-02-01,1739.0,1740.0,1725.0,1725.5,0.0,Aluminium
2000-02-02,1735.0,1735.5,1720.0,1720.5,0.0,Aluminium
2000-02-03,1720.5,1721.0,1700.0,1700.5,0.0,Aluminium
2000-02-04,1685.0,1686.0,1664.0,1665.0,0.0,Aluminium
2000-02-07,1715.0,1716.0,1687.5,1688.0,0.0,Aluminium
2000-02-08,1709.0,1709.5,1687.0,1688.0,0.0,Aluminium
2000-02-09,1706.0,1707.0,1676.0,1676.5,0.0,Aluminium
2000-02-10,1707.5,1708.0,1681.0,1682.0,0.0,Aluminium
2000-02-11,1711.0,1712.0,1694.0,1695.0,0.0,Aluminium
2000-02-14,1710.0,1711.0,1677.0,1678.0,0.0,Aluminium
2000-02-15,1687.0,1688.0,1678.0,1679.0,0.0,Aluminium
2000-02-16,1612.0,1613.0,1635.0,1636.0,0.0,Aluminium
2000-02-17,1625.0,1626.0,1642.5,1643.0,0.0,Aluminium
2000-02-18,1632.0,1633.0,1646.0,1647.0,0.0,Aluminium
2000-02-21,1615.0,1615.5,1634.0,1635.0,0.0,Aluminium
2000-02-22,1620.5,1621.0,1641.0,1641.5,0.0,Aluminium
2000-02-23,1632.0,1633.0,1650.0,1650.5,0.0,Aluminium
2000-02-24,1646.5,1647.0,1657.0,1658.0,0.0,Aluminium
2000-02-25,1650.0,1651.0,1658.5,1659.0,0.0,Aluminium
2000-02-28,1613.5,1614.0,1624.0,1625.0,0.0,Aluminium
2000-02-29,1596.0,1596.5,1614.0,1615.0,0.0,Aluminium
2000-03-01,1593.0,1594.0,1609.0,1609.5,0.0,Aluminium
2000-03-02,1599.5,1600.0,1615.5,1616.0,0.0,Aluminium
2000-03-03,1586.0,1587.0,1606.5,1607.0,0.0,Aluminium
2000-03-06,1586.5,1587.5,1609.0,1610.0,0.0,Aluminium
2000-03-07,1595.0,1595.5,1620.0,1620.5,0.0,Aluminium
2000-03-08,1559.0,1560.0,1587.0,1587.5,0.0,Aluminium
2000-03-09,1562.5,1563.0,1588.5,1589.5,0.0,Aluminium
2000-03-10,1576.0,1577.0,1600.0,1601.0,0.0,Aluminium
2000-03-13,1570.0,1571.0,1599.0,1599.5,0.0,Aluminium
2000-03-14,1585.0,1586.0,1610.5,1611.0,0.0,Aluminium
2000-03-15,1595.0,1595.5,1618.5,1619.0,0.0,Aluminium
2000-03-16,1592.0,1593.0,1613.0,1613.5,0.0,Aluminium
2000-03-17,1600.5,1601.0,1619.0,1620.0,0.0,Aluminium
2000-03-20,1598.5,1599.0,1618.0,1618.5,0.0,Aluminium
2000-03-21,1589.0,1589.5,1614.0,1614.5,0.0,Aluminium
2000-03-22,1576.5,1577.0,1606.5,1607.0,0.0,Aluminium
2000-03-23,1568.5,1569.5,1596.0,1597.0,0.0,Aluminium
2000-03-24,1569.0,1570.0,1596.0,1597.0,0.0,Aluminium
2000-03-27,1558.0,1558.5,1588.0,1588.5,0.0,Aluminium
2000-03-28,1566.0,1566.5,1593.0,1593.5,0.0,Aluminium
2000-03-29,1555.0,1555.5,1584.0,1584.5,0.0,Aluminium
2000-03-30,1561.0,1561.5,1588.0,1589.0,0.0,Aluminium
2000-03-31,1522.5,1523.0,1549.0,1549.5,0.0,Aluminium
2000-04-03,1509.0,1510.0,1536.0,1537.0,0.0,Aluminium
2000-04-04,1494.0,1495.0,1527.0,1528.0,0.0,Aluminium
2000-04-05,1479.5,1480.5,1507.0,1507.5,0.0,Aluminium
2000-04-06,1480.0,1480.5,1508.0,1509.0,0.0,Aluminium
2000-04-07,1459.0,1460.0,1491.0,1492.0,0.0,Aluminium
2000-04-10,1466.0,1467.0,1501.0,1501.5,0.0,Aluminium
2000-04-11,1473.0,1474.0,1504.0,1505.0,0.0,Aluminium
2000-04-12,1464.0,1464.5,1495.0,1496.0,0.0,Aluminium
2000-04-13,1464.0,1465.0,1496.0,1497.0,0.0,Aluminium
2000-04-14,1438.5,1439.5,1471.5,1472.5,0.0,Aluminium
2000-04-17,1396.0,1397.0,1427.0,1428.0,0.0,Aluminium
2000-04-18,1426.0,1427.0,1458.0,1459.0,0.0,Aluminium
2000-04-19,1433.0,1434.0,1466.0,1467.0,0.0,Aluminium
2000-04-20,1428.0,1429.0,1457.0,1458.0,0.0,Aluminium
2000-04-25,1441.0,1442.0,1473.0,1474.0,0.0,Aluminium
2000-04-26,1464.0,1465.0,1495.0,1495.5,0.0,Aluminium
2000-04-27,1451.0,1452.0,1479.5,1480.5,0.0,Aluminium
2000-04-28,1454.0,1455.0,1484.0,1485.0,0.0,Aluminium
2000-05-02,1452.5,1453.5,1479.0,1479.5,0.0,Aluminium
2000-05-03,1465.0,1466.0,1493.0,1494.0,0.0,Aluminium
2000-05-04,1441.0,1442.0,1468.0,1469.0,0.0,Aluminium
2000-05-05,1460.0,1460.5,1488.0,1489.0,0.0,Aluminium
2000-05-08,1445.0,1445.5,1474.0,1474.5,0.0,Aluminium
2000-05-09,1435.0,1436.0,1464.5,1465.0,0.0,Aluminium
2000-05-10,1458.0,1458.5,1486.0,1487.0,0.0,Aluminium
2000-05-11,1430.0,1430.5,1460.0,1461.0,0.0,Aluminium
2000-05-12,1453.0,1455.0,1481.0,1482.0,0.0,Aluminium
2000-05-15,1448.0,1448.5,1473.0,1474.0,0.0,Aluminium
2000-05-16,1490.0,1491.0,1511.5,1512.0,0.0,Aluminium
2000-05-17,1514.0,1514.5,1534.0,1534.5,0.0,Aluminium
2000-05-18,1512.0,1513.0,1533.0,1534.0,0.0,Aluminium
2000-05-19,1497.5,1498.0,1518.5,1519.5,0.0,Aluminium
2000-05-22,1495.5,1496.0,1518.5,1519.5,0.0,Aluminium
2000-05-23,1492.5,1493.5,1516.0,1517.0,0.0,Aluminium
2000-05-24,1479.5,1480.0,1504.0,1505.0,0.0,Aluminium
2000-05-25,1468.0,1469.0,1497.0,1498.0,0.0,Aluminium
2000-05-26,1463.0,1464.0,1490.0,1491.0,0.0,Aluminium
2000-05-30,1455.5,1456.0,1485.5,1486.0,0.0,Aluminium
2000-05-31,1439.0,1440.0,1465.5,1466.0,0.0,Aluminium
2000-06-01,1442.0,1443.0,1465.0,1466.0,0.0,Aluminium
2000-06-02,1463.0,1464.0,1476.5,1477.0,0.0,Aluminium
2000-06-05,1419.0,1419.5,1440.0,1441.0,0.0,Aluminium
2000-06-06,1443.0,1443.5,1464.0,1464.5,0.0,Aluminium
2000-06-07,1437.0,1437.5,1458.0,1458.5,0.0,Aluminium
2000-06-08,1443.0,1444.0,1463.5,1464.0,0.0,Aluminium
2000-06-09,1456.0,1456.5,1475.0,1476.0,0.0,Aluminium
2000-06-12,1457.0,1458.0,1477.0,1477.5,0.0,Aluminium
2000-06-13,1448.0,1449.0,1466.0,1466.5,0.0,Aluminium
2000-06-14,1478.0,1479.0,1493.0,1494.0,0.0,Aluminium
2000-06-15,1546.0,1547.0,1557.0,1558.0,0.0,Aluminium
2000-06-16,1554.0,1555.0,1568.0,1569.0,0.0,Aluminium
2000-06-19,1550.0,1551.0,1571.0,1572.0,0.0,Aluminium
2000-06-20,1534.0,1535.0,1554.5,1555.0,0.0,Aluminium
2000-06-21,1539.0,1540.0,1557.0,1558.0,0.0,Aluminium
2000-06-22,1550.5,1551.0,1568.5,1569.0,0.0,Aluminium
2000-06-23,1544.0,1544.5,1561.5,1562.0,0.0,Aluminium
2000-06-26,1554.0,1555.0,1577.5,1578.0,0.0,Aluminium
2000-06-27,1579.0,1579.5,1599.0,1600.0,0.0,Aluminium
2000-06-28,1574.0,1575.0,1593.0,1594.0,0.0,Aluminium
2000-06-29,1556.0,1557.0,1576.0,1577.0,0.0,Aluminium
2000-06-30,1563.0,1564.0,1581.0,1582.0,0.0,Aluminium
2000-07-03,1560.0,1560.5,1580.0,1580.5,0.0,Aluminium
2000-07-04,1552.0,1553.0,1574.0,1575.0,0.0,Aluminium
2000-07-05,1567.0,1568.0,1588.0,1589.0,0.0,Aluminium
2000-07-06,1560.0,1560.5,1583.0,1584.0,0.0,Aluminium
2000-07-07,1542.0,1543.0,1567.0,1568.0,0.0,Aluminium
2000-07-10,1540.5,1541.0,1566.0,1567.0,0.0,Aluminium
2000-07-11,1568.0,1569.0,1592.0,1593.0,0.0,Aluminium
2000-07-12,1562.5,1563.0,1587.0,1587.5,0.0,Aluminium
